模型编号（rhino中对应编号，表单中表头、值均不显示）,构件编号（表单中显示）,构件类别,构件类型,方位,所属部件,材质类别,材质类型,保存状态,病害类型,干预情况,备注
GXL-00-11-09,GXL-00-11-09,粱,工型粱,,,铁,锭铁,,,,
GXL-00-11-10,GXL-00-11-10,粱,工型粱,,,铁,锭铁,,,,
GXL-00-11-11,GXL-00-11-11,粱,工型粱,,,铁,锭铁,,,,
GXL-00-11-12,GXL-00-11-12,粱,工型粱,,,铁,锭铁,,,,
GXL-00-11-13,GXL-00-11-13,粱,工型粱,,,铁,锭铁,,,,
GXL-00-11-14,GXL-00-11-14,粱,工型粱,,,铁,锭铁,,,,
GXL-00-11-15,GXL-00-11-15,粱,工型粱,,,铁,锭铁,,,,
GXL-00-12-01,GXL-00-12-01,粱,工型粱,,,铁,锭铁,,,,
GXL-00-12-02,GXL-00-12-02,粱,工型粱,,,铁,锭铁,,,,
GXL-00-12-03,GXL-00-12-03,粱,工型粱,,,铁,锭铁,,,,
GXL-00-12-04,GXL-00-12-04,粱,工型粱,,,铁,锭铁,,,,
GXL-00-12-05,GXL-00-12-05,粱,工型粱,,,铁,锭铁,,,,
GXL-00-12-06,GXL-00-12-06,粱,工型粱,,,铁,锭铁,,,,
GXL-00-12-07,GXL-00-12-07,粱,工型粱,,,铁,锭铁,,,,
GXL-00-12-08,GXL-00-12-08,粱,工型粱,,,铁,锭铁,,,,
GXL-00-12-09,GXL-00-12-09,粱,工型粱,,,铁,锭铁,,,,
GXL-00-12-10,GXL-00-12-10,粱,工型粱,,,铁,锭铁,,,,
GXL-00-12-11,GXL-00-12-11,粱,工型粱,,,铁,锭铁,,,,
GXL-00-12-12,GXL-00-12-12,粱,工型粱,,,铁,锭铁,,,,
GXL-00-13-01,GXL-00-13-01,粱,工型粱,,,铁,锭铁,,,,
GXL-00-13-02,GXL-00-13-02,粱,工型粱,,,铁,锭铁,,,,
GXL-00-13-03,GXL-00-13-03,粱,工型粱,,,铁,锭铁,,,,
GXL-00-13-04,GXL-00-13-04,粱,工型粱,,,铁,锭铁,,,,
GXL-00-13-05,GXL-00-13-05,粱,工型粱,,,铁,锭铁,,,,
GXL-00-13-06,GXL-00-13-06,粱,工型粱,,,铁,锭铁,,,,
GXL-00-13-07,GXL-00-13-07,粱,工型粱,,,铁,锭铁,,,,
GXL-00-13-08,GXL-00-13-08,粱,工型粱,,,铁,锭铁,,,,
GXL-00-13-09,GXL-00-13-09,粱,工型粱,,,铁,锭铁,,,,
GXL-00-13-10,GXL-00-13-10,粱,工型粱,,,铁,锭铁,,,,
GXL-00-13-11,GXL-00-13-11,粱,工型粱,,,铁,锭铁,,,,
GXL-00-13-12,GXL-00-13-12,粱,工型粱,,,铁,锭铁,,,,
GXL-00-13-13,GXL-00-13-13,粱,工型粱,,,铁,锭铁,,,,
GXL-00-13-14,GXL-00-13-14,粱,工型粱,,,铁,锭铁,,,,
GXL-00-13-15,GXL-00-13-15,粱,工型粱,,,铁,锭铁,,,,
GXL-00-13-16,GXL-00-13-16,粱,工型粱,,,铁,锭铁,,,,
GXL-00-14-01,GXL-00-14-01,粱,工型粱,,,铁,锭铁,,,,
GXL-00-14-02,GXL-00-14-02,粱,工型粱,,,铁,锭铁,,,,
GXL-00-14-03,GXL-00-14-03,粱,工型粱,,,铁,锭铁,,,,
GXL-00-14-04,GXL-00-14-04,粱,工型粱,,,铁,锭铁,,,,
GXL-00-14-05,GXL-00-14-05,粱,工型粱,,,铁,锭铁,,,,
GXL-00-14-06,GXL-00-14-06,粱,工型粱,,,铁,锭铁,,,,
GXL-00-14-07,GXL-00-14-07,粱,工型粱,,,铁,锭铁,,,,
GXL-00-14-08,GXL-00-14-08,粱,工型粱,,,铁,锭铁,,,,
GXL-00-14-09,GXL-00-14-09,粱,工型粱,,,铁,锭铁,,,,
GXL-00-14-10,GXL-00-14-10,粱,工型粱,,,铁,锭铁,,,,
GXL-00-14-11,GXL-00-14-11,粱,工型粱,,,铁,锭铁,,,,
GXL-00-14-12,GXL-00-14-12,粱,工型粱,,,铁,锭铁,,,,
GXL-00-10-01,GXL-00-10-01,粱,工型粱,,,铁,锭铁,,,,
GXL-00-10-02,GXL-00-10-02,粱,工型粱,,,铁,锭铁,,,,
GXL-00-10-03,GXL-00-10-03,粱,工型粱,,,铁,锭铁,,,,
GXL-00-10-04,GXL-00-10-04,粱,工型粱,,,铁,锭铁,,,,
GXL-00-10-05,GXL-00-10-05,粱,工型粱,,,铁,锭铁,,,,
GXL-00-10-06,GXL-00-10-06,粱,工型粱,,,铁,锭铁,,,,
GXL-00-10-07,GXL-00-10-07,粱,工型粱,,,铁,锭铁,,,,
GXL-00-10-08,GXL-00-10-08,粱,工型粱,,,铁,锭铁,,,,
GXL-00-10-09,GXL-00-10-09,粱,工型粱,,,铁,锭铁,,,,
GXL-00-10-10,GXL-00-10-10,粱,工型粱,,,铁,锭铁,,,,
GXL-00-20-01,GXL-00-20-01,粱,工型粱,,,铁,锭铁,,,,
GXL-00-20-02,GXL-00-20-02,粱,工型粱,,,铁,锭铁,,,,
GXL-00-20-03,GXL-00-20-03,粱,工型粱,,,铁,锭铁,,,,
GXL-00-20-04,GXL-00-20-04,粱,工型粱,,,铁,锭铁,,,,
GXL-00-20-05,GXL-00-20-05,粱,工型粱,,,铁,锭铁,,,,
GXL-00-20-06,GXL-00-20-06,粱,工型粱,,,铁,锭铁,,,,
GXL-00-20-07,GXL-00-20-07,粱,工型粱,,,铁,锭铁,,,,
GXL-00-20-08,GXL-00-20-08,粱,工型粱,,,铁,锭铁,,,,
GXL-00-20-09,GXL-00-20-09,粱,工型粱,,,铁,锭铁,,,,
GXL-00-20-10,GXL-00-20-10,粱,工型粱,,,铁,锭铁,,,,
GXL-00-28-01,GXL-00-28-01,粱,工型粱,,,铁,锭铁,,,,
GXL-00-28-02,GXL-00-28-02,粱,工型粱,,,铁,锭铁,,,,
GXL-00-28-03,GXL-00-28-03,粱,工型粱,,,铁,锭铁,,,,
GXL-00-18-01,GXL-00-18-01,粱,工型粱,,,铁,锭铁,,,,
GXL-00-18-02,GXL-00-18-02,粱,工型粱,,,铁,锭铁,,,,
GXL-00-18-03,GXL-00-18-03,粱,工型粱,,,铁,锭铁,,,,
GXL-00-25-01,GXL-00-25-01,粱,工型粱,,,铁,锭铁,,,,
GXL-00-25-02,GXL-00-25-02,粱,工型粱,,,铁,锭铁,,,,
GXL-00-25-03,GXL-00-25-03,粱,工型粱,,,铁,锭铁,,,,
