模型编号（rhino中对应编号，表单中表头、值均不显示）,构件编号（表单中显示）,构件类别,构件类型,方位,所属部件,材质类别,材质类型,保存状态,病害类型,干预情况,备注
TXJ-04-26-09,TXJ-04-26-09,,,,,铁,,,,,
TXJ-04-27-01,TXJ-04-27-01,,,,,铁,,,,,
TXJ-04-27-02,TXJ-04-27-02,,,,,铁,,,,,
TXJ-04-27-03,TXJ-04-27-03,,,,,铁,,,,,
TXJ-04-27-04,TXJ-04-27-04,,,,,铁,,,,,
TXJ-04-27-05,TXJ-04-27-05,,,,,铁,,,,,
TXJ-04-27-06,TXJ-04-27-06,,,,,铁,,,,,
TXJ-04-27-07,TXJ-04-27-07,,,,,铁,,,,,
TXJ-04-27-08,TXJ-04-27-08,,,,,铁,,,,,
TXJ-04-27-09,TXJ-04-27-09,,,,,铁,,,,,
TXJ-04-28-01,TXJ-04-28-01,,,,,铁,,,,,
TXJ-04-28-02,TXJ-04-28-02,,,,,铁,,,,,
TXJ-04-28-03,TXJ-04-28-03,,,,,铁,,,,,
TXJ-04-28-04,TXJ-04-28-04,,,,,铁,,,,,
TXJ-04-28-05,TXJ-04-28-05,,,,,铁,,,,,
TXJ-04-28-06,TXJ-04-28-06,,,,,铁,,,,,
TXJ-04-28-07,TXJ-04-28-07,,,,,铁,,,,,
TXJ-02-20-01,TXJ-02-20-01,,,,,铁,,,,,
TXJ-02-20-02,TXJ-02-20-02,,,,,铁,,,,,
TXJ-02-20-03,TXJ-02-20-03,,,,,铁,,,,,
TXJ-02-20-04,TXJ-02-20-04,,,,,铁,,,,,
LJB-01-14-01,LJB-01-14-01,,,,,铁,,,,,
LJB-01-14-02,LJB-01-14-02,,,,,铁,,,,,
LJB-01-14-03,LJB-01-14-03,,,,,铁,,,,,
LJB-01-14-04,LJB-01-14-04,,,,,铁,,,,,
LJB-01-14-05,LJB-01-14-05,,,,,铁,,,,,
LJB-01-14-06,LJB-01-14-06,,,,,铁,,,,,
LJB-01-14-07,LJB-01-14-07,,,,,铁,,,,,
LJB-01-14-08,LJB-01-14-08,,,,,铁,,,,,
LJB-01-14-09,LJB-01-14-09,,,,,铁,,,,,
LJB-01-14-10,LJB-01-14-10,,,,,铁,,,,,
LJB-01-12-01,LJB-01-12-01,,,,,铁,,,,,
LJB-01-12-02,LJB-01-12-02,,,,,铁,,,,,
LJB-01-12-03,LJB-01-12-03,,,,,铁,,,,,
LJB-01-12-04,LJB-01-12-04,,,,,铁,,,,,
LJB-01-12-05,LJB-01-12-05,,,,,铁,,,,,
LJB-01-12-06,LJB-01-12-06,,,,,铁,,,,,
LJB-01-12-07,LJB-01-12-07,,,,,铁,,,,,
LJB-01-12-08,LJB-01-12-08,,,,,铁,,,,,
LJB-01-12-09,LJB-01-12-09,,,,,铁,,,,,
LJB-01-12-10,LJB-01-12-10,,,,,铁,,,,,
LJB-01-11-01,LJB-01-11-01,,,,,铁,,,,,
LJB-01-11-02,LJB-01-11-02,,,,,铁,,,,,
LJB-01-11-03,LJB-01-11-03,,,,,铁,,,,,
LJB-01-11-04,LJB-01-11-04,,,,,铁,,,,,
LJB-01-11-05,LJB-01-11-05,,,,,铁,,,,,
LJB-01-11-06,LJB-01-11-06,,,,,铁,,,,,
LJB-01-11-07,LJB-01-11-07,,,,,铁,,,,,
LJB-01-11-08,LJB-01-11-08,,,,,铁,,,,,
LJB-01-13-01,LJB-01-13-01,,,,,铁,,,,,
LJB-01-13-02,LJB-01-13-02,,,,,铁,,,,,
LJB-01-13-03,LJB-01-13-03,,,,,铁,,,,,
LJB-01-13-04,LJB-01-13-04,,,,,铁,,,,,
LJB-01-13-05,LJB-01-13-05,,,,,铁,,,,,
LJB-01-13-06,LJB-01-13-06,,,,,铁,,,,,
LJB-01-13-07,LJB-01-13-07,,,,,铁,,,,,
LJB-01-13-08,LJB-01-13-08,,,,,铁,,,,,
LJB-01-13-09,LJB-01-13-09,,,,,铁,,,,,
LJB-01-13-10,LJB-01-13-10,,,,,铁,,,,,
LJB-01-10-01,LJB-01-10-01,,,,,铁,,,,,
LJB-01-10-02,LJB-01-10-02,,,,,铁,,,,,
LJB-01-10-03,LJB-01-10-03,,,,,铁,,,,,
LJB-01-10-04,LJB-01-10-04,,,,,铁,,,,,
LJB-01-20-01,LJB-01-20-01,,,,,铁,,,,,
LJB-01-20-02,LJB-01-20-02,,,,,铁,,,,,
LJB-01-20-03,LJB-01-20-03,,,,,铁,,,,,
LJB-01-20-04,LJB-01-20-04,,,,,铁,,,,,
LJB-01-23-01,LJB-01-23-01,,,,,铁,,,,,
LJB-01-23-02,LJB-01-23-02,,,,,铁,,,,,
LJB-01-21-01,LJB-01-21-01,,,,,铁,,,,,
LJB-01-21-02,LJB-01-21-02,,,,,铁,,,,,
LJB-02-14-01,LJB-02-14-01,,,,,铁,,,,,
LJB-02-14-02,LJB-02-14-02,,,,,铁,,,,,
LJB-02-14-03,LJB-02-14-03,,,,,铁,,,,,
LJB-02-14-04,LJB-02-14-04,,,,,铁,,,,,
LJB-02-14-05,LJB-02-14-05,,,,,铁,,,,,
LJB-02-14-06,LJB-02-14-06,,,,,铁,,,,,
LJB-02-14-07,LJB-02-14-07,,,,,铁,,,,,
LJB-02-14-08,LJB-02-14-08,,,,,铁,,,,,
LJB-02-14-09,LJB-02-14-09,,,,,铁,,,,,
LJB-02-14-10,LJB-02-14-10,,,,,铁,,,,,
LJB-02-14-11,LJB-02-14-11,,,,,铁,,,,,
LJB-02-14-12,LJB-02-14-12,,,,,铁,,,,,
LJB-02-14-13,LJB-02-14-13,,,,,铁,,,,,
LJB-02-14-14,LJB-02-14-14,,,,,铁,,,,,
LJB-02-12-01,LJB-02-12-01,,,,,铁,,,,,
LJB-02-12-02,LJB-02-12-02,,,,,铁,,,,,
LJB-02-12-03,LJB-02-12-03,,,,,铁,,,,,
LJB-02-12-04,LJB-02-12-04,,,,,铁,,,,,
LJB-02-12-05,LJB-02-12-05,,,,,铁,,,,,
LJB-02-12-06,LJB-02-12-06,,,,,铁,,,,,
LJB-02-12-07,LJB-02-12-07,,,,,铁,,,,,
LJB-02-12-08,LJB-02-12-08,,,,,铁,,,,,
LJB-02-12-09,LJB-02-12-09,,,,,铁,,,,,
LJB-02-12-10,LJB-02-12-10,,,,,铁,,,,,
LJB-02-12-11,LJB-02-12-11,,,,,铁,,,,,
LJB-02-12-12,LJB-02-12-12,,,,,铁,,,,,
LJB-02-12-13,LJB-02-12-13,,,,,铁,,,,,
LJB-02-12-14,LJB-02-12-14,,,,,铁,,,,,
LJB-02-11-01,LJB-02-11-01,,,,,铁,,,,,
LJB-02-11-02,LJB-02-11-02,,,,,铁,,,,,
LJB-02-11-03,LJB-02-11-03,,,,,铁,,,,,
LJB-02-11-04,LJB-02-11-04,,,,,铁,,,,,
LJB-02-11-05,LJB-02-11-05,,,,,铁,,,,,
LJB-02-11-06,LJB-02-11-06,,,,,铁,,,,,
LJB-02-11-07,LJB-02-11-07,,,,,铁,,,,,
LJB-02-11-08,LJB-02-11-08,,,,,铁,,,,,
LJB-02-11-09,LJB-02-11-09,,,,,铁,,,,,
LJB-02-11-10,LJB-02-11-10,,,,,铁,,,,,
LJB-02-11-11,LJB-02-11-11,,,,,铁,,,,,
LJB-02-11-12,LJB-02-11-12,,,,,铁,,,,,
LJB-02-11-13,LJB-02-11-13,,,,,铁,,,,,
LJB-02-11-14,LJB-02-11-14,,,,,铁,,,,,
LJB-02-11-15,LJB-02-11-15,,,,,铁,,,,,
LJB-02-11-16,LJB-02-11-16,,,,,铁,,,,,
LJB-02-11-17,LJB-02-11-17,,,,,铁,,,,,
LJB-02-11-18,LJB-02-11-18,,,,,铁,,,,,
LJB-02-11-19,LJB-02-11-19,,,,,铁,,,,,
LJB-02-11-20,LJB-02-11-20,,,,,铁,,,,,
LJB-02-11-21,LJB-02-11-21,,,,,铁,,,,,
LJB-02-11-22,LJB-02-11-22,,,,,铁,,,,,
LJB-02-11-23,LJB-02-11-23,,,,,铁,,,,,
LJB-02-11-24,LJB-02-11-24,,,,,铁,,,,,
LJB-02-11-25,LJB-02-11-25,,,,,铁,,,,,
LJB-02-11-26,LJB-02-11-26,,,,,铁,,,,,
LJB-02-13-01,LJB-02-13-01,,,,,铁,,,,,
LJB-02-13-02,LJB-02-13-02,,,,,铁,,,,,
LJB-02-13-03,LJB-02-13-03,,,,,铁,,,,,
LJB-02-13-04,LJB-02-13-04,,,,,铁,,,,,
LJB-02-13-05,LJB-02-13-05,,,,,铁,,,,,
LJB-02-13-06,LJB-02-13-06,,,,,铁,,,,,
LJB-02-13-07,LJB-02-13-07,,,,,铁,,,,,
LJB-02-13-08,LJB-02-13-08,,,,,铁,,,,,
LJB-02-13-09,LJB-02-13-09,,,,,铁,,,,,
LJB-02-13-10,LJB-02-13-10,,,,,铁,,,,,
LJB-02-13-11,LJB-02-13-11,,,,,铁,,,,,
LJB-02-13-12,LJB-02-13-12,,,,,铁,,,,,
LJB-02-13-13,LJB-02-13-13,,,,,铁,,,,,
LJB-02-13-14,LJB-02-13-14,,,,,铁,,,,,
LJB-02-13-15,LJB-02-13-15,,,,,铁,,,,,
LJB-02-13-16,LJB-02-13-16,,,,,铁,,,,,
LJB-02-13-17,LJB-02-13-17,,,,,铁,,,,,
LJB-02-13-18,LJB-02-13-18,,,,,铁,,,,,
LJB-02-13-19,LJB-02-13-19,,,,,铁,,,,,
LJB-02-13-20,LJB-02-13-20,,,,,铁,,,,,
LJB-02-13-21,LJB-02-13-21,,,,,铁,,,,,
LJB-02-13-22,LJB-02-13-22,,,,,铁,,,,,
LJB-02-13-23,LJB-02-13-23,,,,,铁,,,,,
LJB-02-13-24,LJB-02-13-24,,,,,铁,,,,,
LJB-02-13-25,LJB-02-13-25,,,,,铁,,,,,
LJB-02-13-26,LJB-02-13-26,,,,,铁,,,,,
LJB-02-10-01,LJB-02-10-01,,,,,铁,,,,,
LJB-02-10-02,LJB-02-10-02,,,,,铁,,,,,
LJB-02-10-03,LJB-02-10-03,,,,,铁,,,,,
LJB-02-10-04,LJB-02-10-04,,,,,铁,,,,,
LJB-02-10-05,LJB-02-10-05,,,,,铁,,,,,
LJB-02-10-06,LJB-02-10-06,,,,,铁,,,,,
LJB-02-10-07,LJB-02-10-07,,,,,铁,,,,,
LJB-02-10-08,LJB-02-10-08,,,,,铁,,,,,
LJB-02-10-09,LJB-02-10-09,,,,,铁,,,,,
LJB-02-10-10,LJB-02-10-10,,,,,铁,,,,,
LJB-02-10-11,LJB-02-10-11,,,,,铁,,,,,
LJB-02-10-12,LJB-02-10-12,,,,,铁,,,,,
LJB-02-10-13,LJB-02-10-13,,,,,铁,,,,,
LJB-02-10-14,LJB-02-10-14,,,,,铁,,,,,
LJB-02-10-15,LJB-02-10-15,,,,,铁,,,,,
LJB-02-10-16,LJB-02-10-16,,,,,铁,,,,,
LJB-02-10-17,LJB-02-10-17,,,,,铁,,,,,
LJB-02-10-18,LJB-02-10-18,,,,,铁,,,,,
LJB-02-10-19,LJB-02-10-19,,,,,铁,,,,,
LJB-02-10-20,LJB-02-10-20,,,,,铁,,,,,
LJB-02-10-21,LJB-02-10-21,,,,,铁,,,,,
LJB-02-10-22,LJB-02-10-22,,,,,铁,,,,,
LJB-02-10-23,LJB-02-10-23,,,,,铁,,,,,
LJB-02-10-24,LJB-02-10-24,,,,,铁,,,,,
LJB-02-20-01,LJB-02-20-01,,,,,铁,,,,,
LJB-02-20-02,LJB-02-20-02,,,,,铁,,,,,
LJB-02-20-03,LJB-02-20-03,,,,,铁,,,,,
LJB-02-20-04,LJB-02-20-04,,,,,铁,,,,,
LJB-02-20-05,LJB-02-20-05,,,,,铁,,,,,
LJB-02-20-06,LJB-02-20-06,,,,,铁,,,,,
LJB-02-20-07,LJB-02-20-07,,,,,铁,,,,,
LJB-02-20-08,LJB-02-20-08,,,,,铁,,,,,
LJB-02-20-09,LJB-02-20-09,,,,,铁,,,,,
LJB-02-20-10,LJB-02-20-10,,,,,铁,,,,,
LJB-02-20-11,LJB-02-20-11,,,,,铁,,,,,
LJB-02-20-12,LJB-02-20-12,,,,,铁,,,,,
LJB-02-20-13,LJB-02-20-13,,,,,铁,,,,,
LJB-02-20-14,LJB-02-20-14,,,,,铁,,,,,
LJB-02-20-15,LJB-02-20-15,,,,,铁,,,,,
LJB-02-20-16,LJB-02-20-16,,,,,铁,,,,,
LJB-02-20-17,LJB-02-20-17,,,,,铁,,,,,
LJB-02-20-18,LJB-02-20-18,,,,,铁,,,,,
LJB-02-20-19,LJB-02-20-19,,,,,铁,,,,,
LJB-02-20-20,LJB-02-20-20,,,,,铁,,,,,
LJB-02-20-21,LJB-02-20-21,,,,,铁,,,,,
LJB-02-20-22,LJB-02-20-22,,,,,铁,,,,,
LJB-02-20-23,LJB-02-20-23,,,,,铁,,,,,
LJB-02-20-24,LJB-02-20-24,,,,,铁,,,,,
LJB-02-23-01,LJB-02-23-01,,,,,铁,,,,,
LJB-02-23-02,LJB-02-23-02,,,,,铁,,,,,
LJB-02-23-03,LJB-02-23-03,,,,,铁,,,,,
LJB-02-23-04,LJB-02-23-04,,,,,铁,,,,,
LJB-02-21-01,LJB-02-21-01,,,,,铁,,,,,
LJB-02-21-02,LJB-02-21-02,,,,,铁,,,,,
LJB-02-21-03,LJB-02-21-03,,,,,铁,,,,,
LJB-02-21-04,LJB-02-21-04,,,,,铁,,,,,
LJB-02-28-01,LJB-02-28-01,,,,,铁,,,,,
LJB-02-28-02,LJB-02-28-02,,,,,铁,,,,,
LJB-02-28-03,LJB-02-28-03,,,,,铁,,,,,
LJB-02-28-04,LJB-02-28-04,,,,,铁,,,,,
LJB-02-25-01,LJB-02-25-01,,,,,铁,,,,,
LJB-02-25-02,LJB-02-25-02,,,,,铁,,,,,
LJB-02-25-03,LJB-02-25-03,,,,,铁,,,,,
LJB-02-25-04,LJB-02-25-04,,,,,铁,,,,,
LJB-02-15-01,LJB-02-15-01,,,,,铁,,,,,
LJB-02-15-02,LJB-02-15-02,,,,,铁,,,,,
LJB-02-15-03,LJB-02-15-03,,,,,铁,,,,,
LJB-02-15-04,LJB-02-15-04,,,,,铁,,,,,
LJB-02-18-01,LJB-02-18-01,,,,,铁,,,,,
LJB-02-18-02,LJB-02-18-02,,,,,铁,,,,,
LJB-02-18-03,LJB-02-18-03,,,,,铁,,,,,
LJB-02-18-04,LJB-02-18-04,,,,,铁,,,,,
LJB-03-11-01,LJB-03-11-01,,,,,铁,,,,,
LJB-03-11-02,LJB-03-11-02,,,,,铁,,,,,
LJB-03-13-01,LJB-03-13-01,,,,,铁,,,,,
LJB-03-13-02,LJB-03-13-02,,,,,铁,,,,,
LJB-04-13-01,LJB-04-13-01,,,,,铁,,,,,
LJB-04-13-02,LJB-04-13-02,,,,,铁,,,,,
LJB-04-11-01,LJB-04-11-01,,,,,铁,,,,,
LJB-04-11-02,LJB-04-11-02,,,,,铁,,,,,
LJP-02-25-01,LJP-02-25-01,,,,,铁,,,,,
LJP-02-25-02,LJP-02-25-02,,,,,铁,,,,,
LJP-02-25-03,LJP-02-25-03,,,,,铁,,,,,
LJP-02-25-04,LJP-02-25-04,,,,,铁,,,,,
LJP-02-25-05,LJP-02-25-05,,,,,铁,,,,,
LJP-02-25-06,LJP-02-25-06,,,,,铁,,,,,
LJP-02-25-07,LJP-02-25-07,,,,,铁,,,,,
LJP-02-26-01,LJP-02-26-01,,,,,铁,,,,,
LJP-02-26-02,LJP-02-26-02,,,,,铁,,,,,
LJP-02-26-03,LJP-02-26-03,,,,,铁,,,,,
LJP-02-26-04,LJP-02-26-04,,,,,铁,,,,,
LJP-02-26-05,LJP-02-26-05,,,,,铁,,,,,
LJP-02-26-06,LJP-02-26-06,,,,,铁,,,,,
LJP-02-26-07,LJP-02-26-07,,,,,铁,,,,,
LJP-02-26-08,LJP-02-26-08,,,,,铁,,,,,
LJP-02-26-09,LJP-02-26-09,,,,,铁,,,,,
LJP-02-27-01,LJP-02-27-01,,,,,铁,,,,,
LJP-02-27-02,LJP-02-27-02,,,,,铁,,,,,
LJP-02-27-03,LJP-02-27-03,,,,,铁,,,,,
LJP-02-27-04,LJP-02-27-04,,,,,铁,,,,,
LJP-02-27-05,LJP-02-27-05,,,,,铁,,,,,
LJP-02-27-06,LJP-02-27-06,,,,,铁,,,,,
LJP-02-27-07,LJP-02-27-07,,,,,铁,,,,,
LJP-02-27-08,LJP-02-27-08,,,,,铁,,,,,
LJP-02-27-09,LJP-02-27-09,,,,,铁,,,,,
LJP-01-25-01,LJP-01-25-01,,,,,铁,,,,,
LJP-01-25-02,LJP-01-25-02,,,,,铁,,,,,
LJP-01-25-03,LJP-01-25-03,,,,,铁,,,,,
LJP-01-25-04,LJP-01-25-04,,,,,铁,,,,,
LJP-01-25-05,LJP-01-25-05,,,,,铁,,,,,
LJP-01-25-06,LJP-01-25-06,,,,,铁,,,,,
LJP-01-25-07,LJP-01-25-07,,,,,铁,,,,,
LJP-01-26-01,LJP-01-26-01,,,,,铁,,,,,
LJP-01-26-02,LJP-01-26-02,,,,,铁,,,,,
LJP-01-26-03,LJP-01-26-03,,,,,铁,,,,,
LJP-01-26-04,LJP-01-26-04,,,,,铁,,,,,
LJP-01-26-05,LJP-01-26-05,,,,,铁,,,,,
LJP-01-26-06,LJP-01-26-06,,,,,铁,,,,,
LJP-01-26-07,LJP-01-26-07,,,,,铁,,,,,
LJP-01-26-08,LJP-01-26-08,,,,,铁,,,,,
LJP-01-26-09,LJP-01-26-09,,,,,铁,,,,,
LJP-01-27-01,LJP-01-27-01,,,,,铁,,,,,
LJP-01-27-02,LJP-01-27-02,,,,,铁,,,,,
LJP-01-27-03,LJP-01-27-03,,,,,铁,,,,,
LJP-01-27-04,LJP-01-27-04,,,,,铁,,,,,
LJP-01-27-05,LJP-01-27-05,,,,,铁,,,,,
LJP-01-27-06,LJP-01-27-06,,,,,铁,,,,,
LJP-01-27-07,LJP-01-27-07,,,,,铁,,,,,
LJP-01-27-08,LJP-01-27-08,,,,,铁,,,,,
LJP-01-27-09,LJP-01-27-09,,,,,铁,,,,,
LJP-01-28-01,LJP-01-28-01,,,,,铁,,,,,
LJP-01-28-02,LJP-01-28-02,,,,,铁,,,,,
LJP-01-28-03,LJP-01-28-03,,,,,铁,,,,,
LJP-01-28-04,LJP-01-28-04,,,,,铁,,,,,
LJP-01-28-05,LJP-01-28-05,,,,,铁,,,,,
LJP-01-28-06,LJP-01-28-06,,,,,铁,,,,,
LJP-01-28-07,LJP-01-28-07,,,,,铁,,,,,
LJP-01-21-01,LJP-01-21-01,,,,,铁,,,,,
LJP-01-21-02,LJP-01-21-02,,,,,铁,,,,,
LJP-01-21-03,LJP-01-21-03,,,,,铁,,,,,
LJP-01-21-04,LJP-01-21-04,,,,,铁,,,,,
LJP-01-21-05,LJP-01-21-05,,,,,铁,,,,,
LJP-01-21-06,LJP-01-21-06,,,,,铁,,,,,
LJP-01-21-07,LJP-01-21-07,,,,,铁,,,,,
LJP-01-21-08,LJP-01-21-08,,,,,铁,,,,,
LJP-01-21-09,LJP-01-21-09,,,,,铁,,,,,
LJP-01-21-10,LJP-01-21-10,,,,,铁,,,,,
LJP-01-21-11,LJP-01-21-11,,,,,铁,,,,,
LJP-01-21-12,LJP-01-21-12,,,,,铁,,,,,
LJP-01-23-01,LJP-01-23-01,,,,,铁,,,,,
LJP-01-23-02,LJP-01-23-02,,,,,铁,,,,,
LJP-01-23-03,LJP-01-23-03,,,,,铁,,,,,
LJP-01-23-04,LJP-01-23-04,,,,,铁,,,,,
LJP-01-23-05,LJP-01-23-05,,,,,铁,,,,,
LJP-01-23-06,LJP-01-23-06,,,,,铁,,,,,
LJP-01-23-07,LJP-01-23-07,,,,,铁,,,,,
LJP-01-23-08,LJP-01-23-08,,,,,铁,,,,,
LJP-01-23-09,LJP-01-23-09,,,,,铁,,,,,
LJP-01-23-10,LJP-01-23-10,,,,,铁,,,,,
LJP-01-23-11,LJP-01-23-11,,,,,铁,,,,,
LJP-01-23-12,LJP-01-23-12,,,,,铁,,,,,
AXL-1-1-01,AXL-01-35-01,,,,,铁,,,,,
AXL-1-1-02,AXL-01-35-02,,,,,铁,,,,,
AXL-1-1-03,AXL-01-35-03,,,,,铁,,,,,
AXL-1-1-04,AXL-01-35-04,,,,,铁,,,,,
AXL-1-1-05,AXL-01-35-05,,,,,铁,,,,,
AXL-1-1-06,AXL-01-35-06,,,,,铁,,,,,
AXL-2-1-01,AXL-02-35-01,,,,,铁,,,,,
AXL-2-1-02,AXL-02-35-02,,,,,铁,,,,,
AXL-2-1-03,AXL-02-35-03,,,,,铁,,,,,
AXL-2-1-04,AXL-02-35-04,,,,,铁,,,,,
AXL-2-1-05,AXL-02-35-05,,,,,铁,,,,,
AXL-2-1-06,AXL-02-35-06,,,,,铁,,,,,
AXL-3-1-01,AXL-03-35-01,,,,,铁,,,,,
AXL-3-1-02,AXL-03-35-02,,,,,铁,,,,,
AXL-3-1-03,AXL-03-35-03,,,,,铁,,,,,
AXL-3-1-04,AXL-03-35-04,,,,,铁,,,,,
AXL-3-1-05,AXL-03-35-05,,,,,铁,,,,,
AXL-4-1-01,AXL-04-35-01,,,,,铁,,,,,
AXL-4-1-02,AXL-04-35-02,,,,,铁,,,,,
AXL-4-1-03,AXL-04-35-03,,,,,铁,,,,,
AXL-4-1-04,AXL-04-35-04,,,,,铁,,,,,
AXL-4-1-05,AXL-04-35-05,,,,,铁,,,,,
AXL-5-1-01,AXL-05-35-01,,,,,铁,,,,,
AXL-5-1-02,AXL-05-35-02,,,,,铁,,,,,
AXL-5-1-03,AXL-05-35-03,,,,,铁,,,,,
AXL-5-1-04,AXL-05-35-04,,,,,铁,,,,,
AXL-5-1-05,AXL-05-35-05,,,,,铁,,,,,
AXL-5-1-06,AXL-05-35-06,,,,,铁,,,,,
LJZ-1-1-01,LJZ-01-35-01,,,,,铁,,,,,
LJZ-1-1-02,LJZ-01-35-02,,,,,铁,,,,,
LJZ-1-1-03,LJZ-01-35-03,,,,,铁,,,,,
LJZ-1-1-04,LJZ-01-35-04,,,,,铁,,,,,
LJZ-1-1-05,LJZ-01-35-05,,,,,铁,,,,,
LJZ-1-1-06,LJZ-01-35-06,,,,,铁,,,,,
AXL-6-1-01,AXL-06-35-01,,,,,铁,,,,,
AXL-6-1-02,AXL-06-35-02,,,,,铁,,,,,
AXL-6-1-03,AXL-06-35-03,,,,,铁,,,,,
AXL-6-1-04,AXL-06-35-04,,,,,铁,,,,,
AXL-6-1-05,AXL-06-35-05,,,,,铁,,,,,
AXL-6-1-06,AXL-06-35-06,,,,,铁,,,,,
ZGT-1-1-01,ZGT-01-35-01,,,,,铁,,,,,
ZGT-1-1-02,ZGT-01-35-02,,,,,铁,,,,,
ZGT-1-1-03,ZGT-01-35-03,,,,,铁,,,,,
ZGT-1-1-04,ZGT-01-35-04,,,,,铁,,,,,
ZGT-1-1-05,ZGT-01-35-05,,,,,铁,,,,,
ZGT-1-1-06,ZGT-01-35-06,,,,,铁,,,,,
ZCGT-1-1-01,ZCGT-01-35-01,,,,,铁,,,,,
ZCGT-1-1-02,ZCGT-01-35-02,,,,,铁,,,,,
ZCGT-1-1-03,ZCGT-01-35-03,,,,,铁,,,,,
ZCGT-1-1-04,ZCGT-01-35-04,,,,,铁,,,,,
ZCGT-1-1-05,ZCGT-01-35-05,,,,,铁,,,,,
ZCGT-1-1-06,ZCGT-01-35-06,,,,,铁,,,,,
ZCGT-1-1-07,ZCGT-01-35-07,,,,,铁,,,,,
ZCGT-1-1-08,ZCGT-01-35-08,,,,,铁,,,,,
ZCGT-1-1-09,ZCGT-01-35-09,,,,,铁,,,,,
ZCGT-1-1-10,ZCGT-01-35-10,,,,,铁,,,,,
ZCGT-1-1-11,ZCGT-01-35-11,,,,,铁,,,,,
ZCGT-1-1-12,ZCGT-01-35-12,,,,,铁,,,,,
ZCGT-1-1-13,ZCGT-01-35-13,,,,,铁,,,,,
ZCGT-1-1-14,ZCGT-01-35-14,,,,,铁,,,,,
ZCGT-1-1-15,ZCGT-01-35-15,,,,,铁,,,,,
ZCGT-1-1-16,ZCGT-01-35-16,,,,,铁,,,,,
ZCGT-1-1-17,ZCGT-01-35-17,,,,,铁,,,,,
ZCGT-1-1-18,ZCGT-01-35-18,,,,,铁,,,,,
ZGT-2-1-01,ZGT-02-35-01,,,,,铁,,,,,
ZGT-2-1-02,ZGT-02-35-02,,,,,铁,,,,,
ZGT-2-1-03,ZGT-02-35-03,,,,,铁,,,,,
ZGT-2-1-04,ZGT-02-35-04,,,,,铁,,,,,
ZGT-2-1-05,ZGT-02-35-05,,,,,铁,,,,,
AXL-7-1-01,AXL-07-35-01,,,,,铁,,,,,
AXL-7-1-02,AXL-07-35-02,,,,,铁,,,,,
AXL-7-1-03,AXL-07-35-03,,,,,铁,,,,,
AXL-7-1-04,AXL-07-35-04,,,,,铁,,,,,
AXL-7-1-05,AXL-07-35-05,,,,,铁,,,,,
AXL-7-1-06,AXL-07-35-06,,,,,铁,,,,,
TXL-1-1-01,TXL-02-35-01,,,,,铁,,,,,
TXL-1-1-02,TXL-02-35-02,,,,,铁,,,,,
TXL-1-1-03,TXL-02-35-03,,,,,铁,,,,,
TXL-1-1-04,TXL-02-35-04,,,,,铁,,,,,
TXL-1-1-05,TXL-02-35-05,,,,,铁,,,,,
TXL-1-1-06,TXL-02-35-06,,,,,铁,,,,,
TXL-2-1-01,TXL-03-35-01,,,,,铁,,,,,
TXL-2-1-02,TXL-03-35-02,,,,,铁,,,,,
TXL-2-1-03,TXL-03-35-03,,,,,铁,,,,,
TXL-2-1-04,TXL-03-35-04,,,,,铁,,,,,
TXL-2-1-05,TXL-03-35-05,,,,,铁,,,,,
TXL-2-1-06,TXL-03-35-06,,,,,铁,,,,,
TXL-2-1-07,TXL-03-35-07,,,,,铁,,,,,
TXL-2-1-08,TXL-03-35-08,,,,,铁,,,,,
TXL-2-1-09,TXL-03-35-09,,,,,铁,,,,,
TXL-2-1-10,TXL-03-35-10,,,,,铁,,,,,
TXL-2-1-11,TXL-03-35-11,,,,,铁,,,,,
TXL-2-1-12,TXL-03-35-12,,,,,铁,,,,,
TXWL-1-1-01,TXWL-01-35-01,,,,,铁,,,,,
TXWL-1-1-02,TXWL-01-35-02,,,,,铁,,,,,
TXWL-1-1-03,TXWL-01-35-03,,,,,铁,,,,,
TXWL-1-1-04,TXWL-01-35-04,,,,,铁,,,,,
TXWL-1-1-05,TXWL-01-35-05,,,,,铁,,,,,
TXWL-1-1-06,TXWL-01-35-06,,,,,铁,,,,,
TXWL-2-1-01,TXWL-02-35-01,,,,,铁,,,,,
TXWL-2-1-02,TXWL-02-35-02,,,,,铁,,,,,
TXWL-2-1-03,TXWL-02-35-03,,,,,铁,,,,,
TXWL-2-1-04,TXWL-02-35-04,,,,,铁,,,,,
TXWL-2-1-05,TXWL-02-35-05,,,,,铁,,,,,
TXWL-2-1-06,TXWL-02-35-06,,,,,铁,,,,,
TP-1-1-01,TP-01-35-01,,,,,铁,,,,,
TP-2-1-01,TP-02-35-01,,,,,铁,,,,,
SGL-1-1-01,SGL-01-35-01,,,,,铁,,,,,
SGL-1-1-02,SGL-01-35-02,,,,,铁,,,,,
SGL-1-1-03,SGL-01-35-03,,,,,铁,,,,,
SGL-1-1-04,SGL-01-35-04,,,,,铁,,,,,
SGL-1-1-05,SGL-01-35-05,,,,,铁,,,,,
SGL-1-1-06,SGL-01-35-06,,,,,铁,,,,,
SXZ-1-1-01,SXZ-01-35-01,,,,,铁,,,,,
SXZ-1-1-02,SXZ-01-35-02,,,,,铁,,,,,
SXZ-1-1-03,SXZ-01-35-03,,,,,铁,,,,,
SXZ-1-1-04,SXZ-01-35-04,,,,,铁,,,,,
